property_id,id,full_address,street_address,unit,city,state,zip_code,county,latitude,longitude,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,building_age,last_sale_price,last_sale_date,days_since_sale,price_per_sqft,assessed_value,tax_year,annual_tax,owner_name,owner_occupied,assessor_id,building_age_grp
P-100003,10003,"8885 Park Way, Apt 21C, Kansas City, MO 59615",8885 Park Way,Apt 21C,Kansas City,MO,59615,Jackson,23.088205,-131.49349,Townhouse,7,3.5,5329,8479,2010,14,174253.02,13/11/2018,2709,32.7,151316.0,2023,2999.49,Joseph Miller,True,MO-JA-69429,New
P-100005,10005,"625 Ridgewood Rd, Apt 14E, Tucson, AZ 62581",625 Ridgewood Rd,Apt 14E,Tucson,AZ,62581,Pima,28.095133,-138.644493,Townhouse,6,3.5,2341,13079,1983,41,428592.88,27/01/2019,2634,183.08,401872.5,2023,3888.34,Deborah Scott,True,AZ-PI-86622,Mid-age
P-100008,10008,"2746 Main St, Apt 22D, Cleveland, OH 88504",2746 Main St,Apt 22D,Cleveland,OH,88504,Cuyahoga,29.590136,-155.305523,Townhouse,7,3.0,2561,3510,1950,74,804847.49,26/05/2025,323,314.27,664559.38,2023,11824.03,Ronald Wright,False,OH-CU-26828,Old
P-100009,10009,"2805 Adams St, Apt 19E, Indianapolis, IN 79163",2805 Adams St,Apt 19E,Indianapolis,IN,79163,Marion,44.119476,-120.186999,Condo,5,2.5,6440,11547,1971,53,896216.5,30/12/2018,2662,139.16,817372.88,2024,10967.37,Sarah Anderson,True,IN-MA-12757,Old
P-100010,10010,"9741 Madison Ave, Apt 26D, Tucson, AZ 10942",9741 Madison Ave,Apt 26D,Tucson,AZ,10942,Pima,22.881317,-102.094043,Condo,1,1.0,3306,4466,1985,39,305643.61,12/10/2018,2741,92.45,289024.04,2024,2771.09,Kenneth Torres,True,AZ-PI-71993,Mid-age
P-100012,10012,"4663 Lakeshore Dr, Apt 6D, Decatur, GA 42742",4663 Lakeshore Dr,Apt 6D,Decatur,GA,42742,DeKalb,44.173878,-150.441515,Condo,1,1.0,5942,14798,1921,103,875817.08,31/10/2017,3087,147.39,923644.33,2022,11893.74,Steven Wilson,False,GA-DE-17685,Old
P-100013,10013,"6496 Adams St, Apt 17E, Austin, TX 69638",6496 Adams St,Apt 17E,Austin,TX,69638,Travis,28.559105,-96.396539,Condo,6,4.5,1868,4979,1957,67,289806.7,17/08/2025,240,155.14,282200.46,2024,5644.01,Daniel Brown,True,TX-TR-72493,Old
P-100015,10015,"5247 Monroe Blvd, Apt 29A, Naperville, IL 44814",5247 Monroe Blvd,Apt 29A,Naperville,IL,44814,DuPage,31.488325,-98.562951,Condo,4,3.5,1194,1346,1978,46,604504.22,20/12/2019,2307,506.28,664246.73,2022,13949.18,Paul Taylor,True,IL-DU-55745,Mid-age
P-100016,10016,"6154 Heritage Ln, Apt 10E, Charlotte, NC 30676",6154 Heritage Ln,Apt 10E,Charlotte,NC,30676,Mecklenburg,32.611891,-109.740037,Condo,5,5.0,664,11606,1990,34,353515.43,04/11/2018,2718,532.4,293798.17,2022,3282.78,Michael Mitchell,True,NC-ME-45697,Mid-age
P-100017,10017,"5717 Jefferson St, Apt 23D, Naperville, IL 93130",5717 Jefferson St,Apt 23D,Naperville,IL,93130,DuPage,43.60219,-113.029412,Condo,7,1.0,1356,11748,1974,50,766891.51,15/10/2025,181,565.55,614328.96,2022,12900.91,Thomas Hernandez,False,IL-DU-82309,Old
P-100019,10019,"5894 Willow Way, Apt 13A, Fort Lauderdale, FL 91351",5894 Willow Way,Apt 13A,Fort Lauderdale,FL,91351,Broward,40.861157,-76.458547,Condo,7,2.0,2050,8805,1923,101,259901.32,23/07/2022,1361,126.78,268924.04,2023,4740.28,Deborah Thomas,True,FL-BR-24168,Old
P-100020,10020,"3744 Lincoln Rd, Apt 11A, Rockville, MD 70332",3744 Lincoln Rd,Apt 11A,Rockville,MD,70332,Montgomery,30.265948,-85.613335,Condo,2,1.0,6006,9170,1971,53,693914.34,03/08/2016,3541,115.54,569583.09,2023,6956.75,Paul Sanchez,False,MD-MO-80282,Old
P-100022,10022,"8618 Lincoln Rd, Apt 14D, Austin, TX 57739",8618 Lincoln Rd,Apt 14D,Austin,TX,57739,Travis,32.429381,-74.44792,Townhouse,5,3.5,6034,8075,2012,12,822036.53,05/08/2020,2078,136.23,733902.21,2023,14678.04,George Jackson,True,TX-TR-35144,New
P-100023,10023,"9424 Clearwater Ct, Apt 17E, Atlanta, GA 63225",9424 Clearwater Ct,Apt 17E,Atlanta,GA,63225,Fulton,35.520336,-156.964683,Condo,2,4.0,5351,15290,2003,21,371354.4,30/04/2021,1810,69.4,346342.92,2022,4895.24,Deborah Hernandez,False,GA-FU-47196,Mid-age
P-100025,10025,"2517 Main St, Apt 20E, Charlotte, NC 23970",2517 Main St,Apt 20E,Charlotte,NC,23970,Mecklenburg,41.628141,-137.960821,Condo,4,1.0,5166,9248,1935,89,476040.22,18/04/2017,3283,92.15,447188.84,2024,8878.8,Joshua Lee,False,NC-ME-68008,Old
P-100026,10026,"9076 Harbor View Blvd, Apt 11E, Minneapolis, MN 30861",9076 Harbor View Blvd,Apt 11E,Minneapolis,MN,30861,Hennepin,40.706869,-115.703324,Condo,7,2.5,5823,10366,2018,6,726586.37,06/11/2020,1985,124.78,717885.16,2023,9532.42,Melissa Jackson,True,MN-HE-54020,New
P-100027,10027,"2367 Sunset Blvd, Apt 28E, San Francisco, CA 40311",2367 Sunset Blvd,Apt 28E,San Francisco,CA,40311,San Francisco,31.150435,-143.705942,Condo,1,4.0,3939,9360,1989,35,1871069.13,01/08/2025,256,475.01,1612955.74,2023,20442.15,Stephanie Nguyen,False,CA-SA-12560,Mid-age
P-100030,10030,"1441 Riverside Dr, Apt 19B, Raleigh, NC 12540",1441 Riverside Dr,Apt 19B,Raleigh,NC,12540,Wake,40.849143,-152.468552,Townhouse,2,1.5,5939,6598,2016,8,144203.4,06/07/2023,1013,24.28,123987.27,2022,1916.35,Sarah Rodriguez,True,NC-WA-24993,New
